Person1,Image1,Person2,Image2,Similarity
African/African_female_23,National_ID.jpg,African/African_female_23,Passport.jpg,0.44
African/African_female_23,National_ID.jpg,African/African_female_23,Phone_indoor_01.jpg,0.48
African/African_female_23,National_ID.jpg,African/African_female_23,Phone_outdoor_01.jpg,0.47
African/African_female_23,National_ID.jpg,African/African_female_23,Phone_outdoor_02.jpg,0.56
African/African_female_23,National_ID.jpg,African/African_female_23,Webcam_01.jpg,0.46
African/African_female_23,National_ID.jpg,African/African_female_23,Webcam_02.jpg,0.61
African/African_female_23,National_ID.jpg,African/African_female_23,Webcam_03.jpg,0.46
African/African_female_23,National_ID.jpg,African/African_female_27,National_ID.jpg,0.59
African/African_female_23,National_ID.jpg,African/African_female_27,Passport.jpg,0.52
African/African_female_23,National_ID.jpg,African/African_female_27,Phone_indoor_01.jpg,0.58
African/African_female_23,National_ID.jpg,African/African_female_27,Phone_outdoor_01.jpg,0.51
African/African_female_23,National_ID.jpg,African/African_female_27,Phone_outdoor_02.jpg,0.46
African/African_female_23,National_ID.jpg,African/African_female_27,Webcam_01.jpg,0.6
African/African_female_23,National_ID.jpg,African/African_female_27,Webcam_02.jpg,0.5
African/African_female_23,National_ID.jpg,African/African_female_27,Webcam_03.jpg,0.53
African/African_female_23,National_ID.jpg,African/African_female_32,National_ID.jpg,0.54
African/African_female_23,National_ID.jpg,African/African_female_32,Passport.jpg,0.42
African/African_female_23,National_ID.jpg,African/African_female_32,Phone_indoor_01.jpg,0.49
African/African_female_23,National_ID.jpg,African/African_female_32,Phone_outdoor_01.jpg,0.49
African/African_female_23,National_ID.jpg,African/African_female_32,Phone_outdoor_02.jpg,0.53
African/African_female_23,National_ID.jpg,African/African_female_32,Webcam_01.jpg,0.56
African/African_female_23,National_ID.jpg,African/African_female_32,Webcam_02.jpg,0.61
African/African_female_23,National_ID.jpg,African/African_female_32,Webcam_03.jpg,0.56
African/African_female_23,National_ID.jpg,African/African_Male_22,National_ID.jpg,0.56
African/African_female_23,National_ID.jpg,African/African_Male_22,Passport.jpg,0.51
African/African_female_23,National_ID.jpg,African/African_Male_22,Phone_indoor_01.jpg,0.48
African/African_female_23,National_ID.jpg,African/African_Male_22,Phone_outdoor_01.jpg,0.55
African/African_female_23,National_ID.jpg,African/African_Male_22,Phone_outdoor_02.jpg,0.58
African/African_female_23,National_ID.jpg,African/African_Male_22,Webcam_01.jpg,0.53
African/African_female_23,National_ID.jpg,African/African_Male_22,Webcam_02.jpg,0.52
African/African_female_23,National_ID.jpg,African/African_Male_22,Webcam_03.jpg,0.47
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_28,Passport_1.jpg,0.46
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_28,Passport_2.jpg,0.57
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_28,Phone_indoor_01.jpg,0.58
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_28,Phone_outdoor_01.jpg,0.57
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_28,Phone_outdoor_02.jpg,0.54
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_28,Webcam_01.jpg,0.5
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_28,Webcam_02.jpg,0.53
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_28,Webcam_03.jpg,0.56
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_47,Passport_1.jpg,0.52
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_47,Passport_2.jpg,0.53
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_47,Phone_indoor_01.jpg,0.62
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_47,Phone_outdoor_01.jpg,0.46
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_47,Phone_outdoor_02.jpg,0.47
African/African_female_23,National_ID.jpg,Caucasians/Caucasian_female_47,Webcam_01.jpg,0.51
